#	
TRAPPC8	2.956334681
COL4A4	2.65972405
CLEC4A	2.447756895
ZFP57	2.43171813
PCF11	2.37516984
FAM214A	2.350855546
TMEM104	2.334503378
MAGEE1	2.23498876
CYB5D1	2.187389121
SLC46A3	2.105502343
TRAM2	2.094845978
PLEKHM1	2.067916223
ZBTB24	2.05570611
ZNF235	2.007941742
L3MBTL3	1.993616489
NCBP3	1.992710931
MED18	1.981154254
PPP4R1	1.972924763
ZNF532	1.963171506
CYBB	1.931295517
TCF4	1.896862129
DOLK	1.885741845
DDIAS	1.880311178
ERV3-1	1.868562339
USP6NL	1.823495966
GPR75	1.814577479
MAP3K5	1.805666919
EIF1AD	1.787319927
SLC7A6	1.772340849
ZNF583	1.768087334
AKAP8	1.747964703
RELCH	1.733485641
NFAT5	1.701921925
SLC38A7	1.699272633
PNN	1.697288232
GATD1	1.673875194
ZSCAN18	1.635461128
SYNJ2BP	1.630315547
ATP2B1	1.61662398
PRRT2	1.613364037
EPM2AIP1	1.608237224
CEP295	1.599284938
MIXL1	1.585398157
TRPM7	1.572915177
ZNF671	1.563686576
PARP15	1.559713663
MAP4K5	1.556871838
C19orf44	1.547114834
ZFP3	1.537735306
BHLHE41	1.529918017
DDX42	1.52958593
LRRC56	1.526553794
BRCA2	1.510791999
CYSRT1	1.505177217
ZNF616	1.503415391
DGKE	1.500929379
MYO5C	1.477528981
PCMTD2	1.463393696
NPAT	1.458246445
ZNF793	1.456093066
SCAMP5	1.447731391
ZBED5	1.447046005
DDX20	1.442628144
MYH11	1.440391209
KLHL42	1.439929668
CSRNP2	1.432573917
C1RL-AS1	1.430309738
KIAA2026	1.430061334
CD302	1.429633796
MPC1	1.42949548
AVIL	1.428624422
FSD2	1.427569934
CHD8	1.427390487
ABCA5	1.417605576
TOX	1.416740612
INIP	1.398564308
PALB2	1.39038988
DPP8	1.383414073
TMEM62	1.371962312
RFX7	1.370704006
CAPRIN2	1.370364415
DDX5	1.366510921
ZDHHC5	1.364522184
ZNF333	1.363246835
H2BC21	1.360105975
ZIK1	1.353894594
MS4A1	1.344847091
TEX9	1.337542689
FKRP	1.336917778
STX2	1.330566969
TRMT10B	1.330280084
SSPN	1.328797633
KIFBP	1.325102728
C22orf46	1.323482473
CNR2	1.320630296
ZFP28	1.320404094
PILRA	1.320293483
ZFP14	1.319345592
RBBP6	1.31501933
ST8SIA5	1.31407078
SLC30A4	1.310394591
GEN1	1.309656476
ZPBP2	1.307456756
ZNF790	1.304554446
NRBP2	1.304403196
PPP6R3	1.30292378
AMMECR1L	1.296132708
SYT17	1.290142467
H2AC11	1.28998914
ZNF852	1.286801887
ZFYVE26	1.285561729
MED13	1.284614596
ALG2	1.283319055
ZNF211	1.280819142
ZNF221	1.277206501
BBS10	1.267945914
LHX4	1.263018366
ZNF418	1.261399264
ZNF223	1.259984303
MTMR9	1.257300597
CYP1A1	1.253299453
CMTR2	1.251906845
RRAS2	1.247820166
HARBI1	1.24020636
TMEM231	1.238813018
ZNF281	1.237362031
