Name SRX033480 SRX033488 SRX033481 SRX033489 SRX033482 SRX033490 SRX033483 SRX033476 SRX033478 SRX033479 SRX033472 SRX033473 SRX033474 SRX033475 SRX033491 SRX033484 SRX033492 SRX033485 SRX033493 SRX033486 SRX033494
ENSMUSG00000000001 6.96265347967684 6.90512440748551 6.74522959636377 6.86056509942093 6.88651327770367 6.82460441583864 6.88894147231426 6.50277959502729 6.89838416993009 6.29158067013463 6.2252648234837 6.61154523246171 6.4150395386346 6.7086034582184 6.71348021668457 6.92441688711191 6.82758210358761 6.40157817668467 6.68171520671457 6.78447734920442 6.99162028700904
ENSMUSG00000000056 2.85948768023279 2.90415518001144 2.93536345515012 2.46261214197274 2.08535462160997 2.96886606851365 2.91041300261709 3.10353167833991 2.72722662245733 3.53276135113763 3.32910063446824 3.10120839770056 3.07198127698322 2.94114126328431 2.64253696479294 2.63966379988756 2.48707258295852 2.6257191075563 2.82895535413366 2.85331006228925 2.75542206614756
ENSMUSG00000000058 2.38741923591756 2.80793986475214 2.22166764030676 2.38131203987089 2.29947942696282 2.196818015192 2.41445550795468 1.83725161300246 3.18059224039528 2.45475883913636 2.11853364852858 2.37606823893114 3.02388698878218 2.11397786014652 2.21190261046307 2.36136263740046 2.4140091207688 2.32873736979917 1.99735288582938 1.71580653853932 2.0805174401136
ENSMUSG00000000078 7.44863797791738 7.13731094282506 6.98932243854411 6.94078611876525 7.00564792182098 6.92348158420375 7.17481295047511 6.27705442489083 6.89591802396053 6.612161920324 6.3621156916962 6.51457514399489 6.55698570771043 7.0681741705334 6.96524049374406 7.00029914622403 7.29887341004732 7.13756367907344 7.19085736449004 7.21533356275441 6.7524464135817
ENSMUSG00000000088 6.52861994832324 6.97509843190308 6.68371995910319 6.81485212537616 6.67751262373533 6.52649362795898 6.64278088504487 6.32302653886926 6.53299529362299 6.33577080291927 6.876471247052 6.86070620521913 6.83298745859161 6.78731543423244 7.27518044236789 7.5856722617312 6.89457640955196 6.95267110203316 6.94363966411902 7.28262169255022 7.22705262128034
ENSMUSG00000000093 1.9567848815877 1.97970621301862 2.3326989526955 2.38131203987089 3.22285814535991 2.51430020504817 2.25833630603739 3.25715486745312 3.27471441775983 3.1527303016867 2.82214064574835 2.73863831831585 2.69583279109798 2.51733355437773 2.29320271256492 1.76097009610969 2.4140091207688 3.38927891173422 2.09198975996746 1.46426777154335 2.39737454545354
ENSMUSG00000000120 2.71862514439294 2.24763941826525 3.35917116405669 4.06069014248415 3.22285814535991 3.52317835639462 3.89723761386935 5.04986301354633 3.18059224039528 2.38917049750878 3.97793531835578 2.54271810834059 2.75595378353555 2.01776254488722 4.46532192742015 4.63332227301373 0.79107876984862 4.339005705253 1.15910395582599 1.71580653853932 2.96187294361498
ENSMUSG00000000125 2.71862514439294 1.97970621301862 2.86321366939428 2.68217851923042 2.93335152816492 2.94263452694047 2.0832495994793 3.34204376503964 2.77094799988665 2.79579575697143 1.84723162671118 2.73863831831585 2.81366928139183 2.99267156392439 2.33219684418079 2.29862688205249 1.27650559701886 1.44738186629779 1.8960695499922 1.59551230482161 2.26999523897732
ENSMUSG00000000126 5.0405532392803 4.9686227138896 4.26431197771525 3.9381235002779 4.51831402888608 4.05096714872854 4.73638360284204 3.00283767872044 5.0491547173447 5.73439521230728 5.35993803839083 5.40881682127085 6.30866208525208 5.4124469822099 4.60720389168065 4.08289819099706 4.88531483969439 5.02600284014512 4.7477050336105 4.60333180928091 3.84008446321694
ENSMUSG00000000127 5.19477415797517 4.82852074217459 4.96151574300609 4.65216595016398 4.73611918072687 4.68620285593092 4.94283448030946 4.64460653506007 4.46641004187336 4.50980020269432 4.62587525212726 4.60056218291288 4.68813839930798 4.7964061703033 4.71440295099226 4.74341172472539 4.9895729234877 4.43785909217929 4.9444325715536 4.58765018704864 4.85125377093505
ENSMUSG00000000131 8.17889724953282 8.29462465192797 8.13909939569686 8.29411461571709 8.28148950237513 8.26025458244163 8.28323849835772 8.34504625320116 8.24547121767841 8.47811277321544 8.54239990718216 8.57072460263201 8.51899673444256 8.48901729149345 8.35397266087722 8.38184025030148 8.51436427462626 8.54984109516705 8.39635013653359 8.54108336859418 8.23453605064656
ENSMUSG00000000149 8.28262802647845 8.61025194920997 8.3795198094485 8.61235926147742 8.63932942984744 8.53172727680635 8.46945977994572 9.33666658758519 8.86125795430046 8.94696811249312 8.73534501528907 8.89738824420149 8.66235358307167 8.42715348102492 8.4272773360822 8.37615474524511 8.21499303752172 8.45743141141818 8.36589633999187 8.21979124243693 8.49347719697258
ENSMUSG00000000168 1.9567848815877 2.43108555936118 2.22166764030676 2.15543063245456 2.39569474222212 1.60071495686564 2.0832495994793 2.05406300207561 2.19671190575855 1.82088673793426 2.27465285044586 1.61933938994351 1.89613144158381 2.2041756691181 1.46093015830299 1.56166128788629 1.27650559701886 0.658885971491503 0.758566026242263 1.46426777154335 1.8022162776265
ENSMUSG00000000171 7.40044918436668 7.62297342746739 7.38355532268365 7.39626238133686 7.47078565880349 7.28493351197977 7.50082993343035 7.29579678304604 7.26423589995556 7.27010655194749 7.66255970714531 7.60449430592728 7.5580414670264 7.38739749317387 7.62448779733624 7.48361239219697 7.47981863786311 7.20086254724701 7.37386460533438 7.34458013374096 7.65966794050051
ENSMUSG00000000184 6.24379456027183 6.04974498932504 6.05759171456113 5.97841997045413 6.117455464777 6.15601748406656 6.22445031188498 6.74023775415507 6.5298175499574 6.69592106449265 5.89914371535365 5.99737258671602 5.63709896630751 6.05762700576516 5.6091897076045 5.79829563179851 5.77839963577787 6.17959393049336 6.026101824311 5.89531758881083 5.83071019345179
